iter	RMSE
290	0.4587200961
291	0.458655989
292	0.4585792639
293	0.4585477506
294	0.4584378116
295	0.4583151132
296	0.4582110438
297	0.4580798742
298	0.4579934818
299	0.4578816783
300	0.4578068239
301	0.4577297389
302	0.4576573295
303	0.4575390115
304	0.4574137078
305	0.4573883992
306	0.4573245474
307	0.4573093006
308	0.4572618698
309	0.457248403
310	0.4572059553
311	0.4571686991
312	0.457098947
313	0.4570268174
314	0.4569452011
315	0.4569339569
316	0.4568384132
317	0.4568037605
318	0.4566989698
319	0.4566371072
320	0.456563449
321	0.4564454313
322	0.4563952074
323	0.4563332382
324	0.456262588
325	0.4561886954
326	0.4561597089
327	0.4560680792
328	0.4560264042
329	0.455993672
330	0.4559787386
331	0.4559237933
332	0.4558644474
333	0.4558075646
334	0.4557209156
335	0.4556915217
336	0.455614544
337	0.4555413762
338	0.455470588
339	0.4554461303
340	0.4553364333
341	0.4552868522
342	0.455168442
343	0.4551175816
344	0.4550518698
345	0.4550175667
346	0.4549535255
347	0.4548910996
348	0.4548479407
349	0.454795162
350	0.4547134057
351	0.4547002421
352	0.4546095219
353	0.4545207507
354	0.4544709679
355	0.4543755944
356	0.4543034119
357	0.4542915914
358	0.4542674207
359	0.4542025312
360	0.4541020237
361	0.4539787499
362	0.4539257395
363	0.4538552509
364	0.4538366336
365	0.453747003
366	0.4536628291
367	0.4536335475
368	0.453527076
369	0.453435675
370	0.4533994898
371	0.4533336141
372	0.4532727833
373	0.4532335011
374	0.4531613393
375	0.4531599637
376	0.4530749814
377	0.4530259626
378	0.4529735697
379	0.452904559
380	0.4528554847
381	0.4527547309
382	0.4526998823
383	0.4526676438
384	0.4526302728
385	0.4526097414
386	0.4525566128
387	0.452467052
388	0.4523853959
389	0.4523156148
390	0.4522851579
391	0.4522839453
392	0.4522238736
393	0.4521867897
394	0.4521336424
395	0.4521324937
396	0.4520637639
397	0.451979504
398	0.4519204587
399	0.4518937967
400	0.4518453042
401	0.4518133001
402	0.4517794733
403	0.4517628805
404	0.4517354407
405	0.451671699
406	0.4515699315
407	0.45152452
408	0.451453703
409	0.4514067332
410	0.4513637827
411	0.4513281286
412	0.4512610182
413	0.4512174294
414	0.4511639339
415	0.4511628425
416	0.4511107298
417	0.4510879061
418	0.4510079942
419	0.4509763992
420	0.4509467299
421	0.4508386225
422	0.450828169
423	0.4507563767
424	0.4507086658
425	0.4506300827
426	0.4505776769
427	0.4505498518
428	0.4504595148
429	0.4503843015
430	0.4503063125
431	0.4502583327
432	0.4502212773
433	0.4501882118
434	0.4501549855
435	0.4500992159
436	0.4500399158
437	0.4499849169
438	0.4499274074
439	0.4498706616
440	0.4498129323
441	0.4497505501
442	0.4497166856
443	0.4496424004
444	0.4495780574
445	0.4495454977
446	0.4494774821
447	0.4494567449
448	0.4494412561
449	0.4493889784
450	0.4493174556
451	0.4492694403
452	0.4492369397
453	0.4491766585
454	0.4491455127
455	0.4490409687
456	0.4490280574
457	0.4489346582
458	0.4488819515
459	0.4488321662
460	0.4487188016
461	0.4487164914
462	0.4487011521
463	0.448640471
464	0.4485606553
465	0.4484966569
466	0.4484633849
467	0.448429092
468	0.4484065073
469	0.4483309585
470	0.4483288399
471	0.4482904728
472	0.4482518093
473	0.4481995661
474	0.4481616447
475	0.4481474415
476	0.448116061
477	0.4480329951
478	0.4479430707
479	0.4479158111
480	0.447853524
481	0.4478100101
482	0.4477652087
483	0.4477167118
484	0.4476755966
485	0.4476575466
486	0.4476098265
487	0.447570174
488	0.4474692508
489	0.4473936875
490	0.4473565011
491	0.4473030557
492	0.4473022674
493	0.4472517217
494	0.4471673357
495	0.4470896902
496	0.4470309635
497	0.4469656046
498	0.4469142654
499	0.4468804231
500	0.4468408217
501	0.4468051969
502	0.4467291902
503	0.4466820313
504	0.4466074513
505	0.446550941
506	0.4465003616
507	0.4464327731
508	0.4463266811
509	0.446306156
510	0.4462678133
511	0.4462129007
512	0.4462001476
513	0.4461168808
514	0.446093564
515	0.446065528
516	0.4460055151
517	0.445954694
518	0.445916425
519	0.4458839628
520	0.4458522494
521	0.4458017534
522	0.4457773093
523	0.4457144511
524	0.4456731466
525	0.4456276877
526	0.4455926611
527	0.445476164
528	0.4454578483
529	0.4454389634
530	0.4453659939
531	0.4452744245
532	0.4452311342
533	0.4451763105
534	0.4451163517
535	0.44509398
536	0.4450224557
537	0.4449969833
538	0.4449481233
539	0.4448889079
540	0.4448463247
541	0.444762391
542	0.4447310809
543	0.4447006084
544	0.4446886993
545	0.4446448024
546	0.4445910384
547	0.4445555387
548	0.4444908123
549	0.4444528338
550	0.4444051778
551	0.4443586508
552	0.4443177115
553	0.4442874464
554	0.4442467712
555	0.444209967
556	0.4441461764
557	0.4440916375
558	0.4440459801
559	0.444019411
560	0.4440080159
561	0.4439255545
562	0.4438676926
563	0.4438310977
564	0.4437714141
565	0.443739948
566	0.443659396
567	0.4436313105
568	0.4436052495
569	0.4435639687
570	0.4434861445
571	0.4434398312
572	0.4433131042
573	0.4432940775
574	0.4432177853
575	0.4431962976
576	0.4431005284
577	0.4430454959
578	0.4429854388
579	0.4429512982
580	0.4429004046
581	0.4428897947
582	0.4427979903
583	0.4427234945
584	0.4427218124
585	0.4426528718
586	0.4426065487
587	0.4425623078
588	0.4425060733
589	0.4424691526
590	0.4424434575
591	0.442367701
592	0.4423327738
593	0.4423203293
594	0.4423190037
595	0.4422257125
596	0.4421289624
597	0.4420599841
598	0.442021183
599	0.4419915048
600	0.4419729215
601	0.4419131343
602	0.4418433541
603	0.4418043388
604	0.4417019691
605	0.4416677698
606	0.4416405932
607	0.4415839949
608	0.441508261
609	0.4414545144
610	0.4414458778
611	0.4413932684
612	0.4413852684
613	0.441349198
614	0.4413105925
615	0.4412461354
616	0.4412120933
617	0.4411840027
618	0.4411316592
619	0.4410854362
620	0.441063118
621	0.4410085815
622	0.4409972624
623	0.440984698
624	0.4409344655
625	0.4409110262
626	0.4408621689
627	0.4408313523
628	0.4408208844
629	0.4407737081
630	0.4406950906
631	0.4406653209
632	0.4406192219
633	0.4405640763
634	0.440521288
635	0.4405093163
636	0.4404989816
637	0.4404631956
638	0.440426217
639	0.4403888943
640	0.4403619999
641	0.4402780342
642	0.4402313918
643	0.4401905703
644	0.4401339057
645	0.4400922672
646	0.4400395104
647	0.4400163197
648	0.4399996882
649	0.4399617542
650	0.4399244087
651	0.4398589946
652	0.4398300054
653	0.4398239427
654	0.4397870984
655	0.4397031828
656	0.4396654083
657	0.4396110781
658	0.4395774403
659	0.4395076743
660	0.4393986416
661	0.439367692
662	0.439330384
663	0.4393093969
664	0.4392150537
665	0.4391598452
666	0.4391239689
667	0.4390832263
668	0.4390589659
669	0.4390439737
670	0.4389908845
671	0.4389723315
672	0.4389709514
673	0.4389314583
674	0.4388718975
675	0.4388375675
676	0.43874889
677	0.4386664832
678	0.4386259114
679	0.4385883613
680	0.4385825512
681	0.4385503032
682	0.4384840392
683	0.4384161673
684	0.4383648309
685	0.4383518037
686	0.4383195843
687	0.4382731457
688	0.4382676862
689	0.4382380144
690	0.4381884762
691	0.4381556201
692	0.4381264648
693	0.438104837
694	0.4380543243
695	0.4379754062
696	0.4379256756
697	0.4379253041
698	0.4379191131
699	0.4378819625
700	0.4378200342
701	0.4377647543
702	0.4376998022
703	0.4376526753
704	0.4376127544
705	0.4375963664
706	0.4375491142
707	0.4375052843
708	0.4374531545
709	0.4373988108
710	0.4373361457
711	0.4373068739
712	0.4372970347
713	0.4372255037
714	0.437178765
715	0.437122076
716	0.437103548
717	0.4370648522
718	0.4370265052
719	0.4369897156
720	0.4369452875
721	0.4369316229
722	0.4369066309
723	0.4368964866
724	0.4368434467
725	0.4367790349
726	0.4367457643
727	0.4367036125
728	0.4366646783
729	0.4366434223
730	0.4365610246
731	0.436527874
732	0.4364830341
733	0.4364669447
734	0.4364334225
735	0.4363783217
736	0.4363547477
737	0.4363409239
738	0.4363175748
739	0.4363059689
740	0.4362303442
741	0.4362127335
742	0.436173158
743	0.4361319228
744	0.4360893254
745	0.4360705908
746	0.4360008451
747	0.4359347134
748	0.4359268359
749	0.435903604
750	0.4358769272
751	0.435840569
752	0.435787472
753	0.4357712577
754	0.4357392854
755	0.4357236129
756	0.4357063903
757	0.4356705929
758	0.4356230379
759	0.4355928912
760	0.4355459783
761	0.4355118071
762	0.4354355342
763	0.4353982362
764	0.4353834082
765	0.4353155476
766	0.4352629858
767	0.4352106168
768	0.4351852892
769	0.4351397687
770	0.4351042683
771	0.4350933214
772	0.4350653009
773	0.4350453207
774	0.4350056395
775	0.4349793415
776	0.4349295012
777	0.4348663563
778	0.4348642688
779	0.4348353541
780	0.4348153057
781	0.4347513188
782	0.4347090698
783	0.4346688402
784	0.4346428327
785	0.4346276668
786	0.4345983249
787	0.4345579974
788	0.4345572037
789	0.4345163751
790	0.4344495803
791	0.4344175799
792	0.4343530475
793	0.4343485933
794	0.4343202985
795	0.4342994793
796	0.4342912738
797	0.4342566103
798	0.4342151916
799	0.4341997773
800	0.4341584296
801	0.4340832799
802	0.4340400199
803	0.4340019483
804	0.433973864
805	0.4339137093
806	0.4338810222
807	0.433815259
808	0.4337849841
809	0.4337323063
810	0.4336940714
811	0.4336683307
812	0.4336550101
813	0.4336195733
814	0.4335990692
815	0.4335780182
816	0.4335500003
817	0.4335034705
818	0.4334853444
819	0.4334294527
820	0.433386394
821	0.4333558982
822	0.4332709935
823	0.4332488772
824	0.433197717
825	0.4331598344
826	0.4331438584
827	0.433136208
828	0.4331105314
829	0.4330939395
830	0.4330751677
831	0.4330290277
832	0.433003551
833	0.4329821698
834	0.4329734503
835	0.4329011999
836	0.4328296294
837	0.4327811705
838	0.4327414197
839	0.4327133142
840	0.4326937991
841	0.4326886197
842	0.4326684905
843	0.4326524689
844	0.4325862625
845	0.4325185387
846	0.4324483419
847	0.4324236712
848	0.4323932886
849	0.4323493558
850	0.4323485979
851	0.4323256967
852	0.4323014585
853	0.4322307944
854	0.4321737279
855	0.4321600312
856	0.4321478512
857	0.432130225
858	0.4321156231
859	0.4321079579
860	0.432075787
861	0.4320415061
862	0.4320024803
863	0.4319701903
864	0.4319194947
865	0.4318829889
866	0.4318250802
867	0.4318095
868	0.4317958853
869	0.4317876164
870	0.4317701663
871	0.4317557896
872	0.4317259337
873	0.4316952173
874	0.4316468195
875	0.4316145701
876	0.431538983
877	0.4314987598
878	0.4314835153
879	0.4314287521
880	0.4313971079
881	0.4313693516
882	0.4313406726
883	0.4313233278
884	0.4312581985
885	0.4312287474
886	0.4312053894
887	0.4311286088
888	0.4311006135
889	0.4310157902
890	0.4309564488
891	0.4309154337
892	0.4309016219
893	0.4308719163
894	0.4308462733
895	0.4308124445
896	0.430778407
897	0.4307548856
898	0.4307069246
899	0.4306537876
900	0.4306091355
901	0.4305634823
902	0.4304873705
903	0.4304583269
904	0.4304264779
905	0.4303809635
906	0.4303663817
907	0.4303289359
908	0.4303042579
909	0.430288811
910	0.430255479
911	0.4302270542
912	0.4301923716
913	0.4301424018
914	0.4300736342
915	0.4300252164
916	0.4299958529
917	0.4299588173
918	0.4299404601
919	0.4299067864
920	0.4298738092
921	0.4298433247
922	0.4297678105
923	0.4297350756
924	0.429704051
925	0.429685707
926	0.4296548494
927	0.4296266443
928	0.4295901515
929	0.429543863
930	0.4294932719
931	0.4294697827
932	0.4294139454
933	0.4294038428
934	0.4294017653
935	0.4293695909
936	0.4293513203
937	0.4293380508
938	0.4293015504
939	0.4292528666
940	0.4292125194
941	0.4291978965
942	0.4291499772
943	0.4291157477
944	0.4290856276
945	0.4290581135
946	0.4290430106
947	0.4290355526
948	0.4290071149
949	0.4289708946
950	0.4289180848
951	0.4288907104
952	0.428840246
953	0.4288382478
954	0.4287885203
955	0.4287867062
956	0.4287393726
957	0.428713065
958	0.4286558772
959	0.4286216131
960	0.4285867759
961	0.4285637254
962	0.4285179206
963	0.4284705346
964	0.428422775
965	0.4283802009
966	0.4283460423
967	0.4282950593
968	0.4282817416
969	0.42827564
970	0.4282530085
971	0.4282225865
972	0.4281631746
973	0.4281417598
974	0.4281157321
975	0.4280761263
976	0.4280194003
977	0.4279863737
978	0.4279486769
979	0.4279052055
980	0.4278733756
981	0.4278542201
982	0.4278193608
983	0.4277456834
984	0.4277102751
985	0.4276879548
986	0.4276516259
987	0.4276124029
988	0.4276043979
989	0.4275422224
990	0.4274845474
991	0.4274522642
992	0.4273886649
993	0.4273632093
994	0.4273389536
995	0.4273299535
996	0.4273041638
997	0.4272580854
998	0.4272402385
999	0.4271941779
